#     nbulk,    tp64,   tp128,   tp192,   tp256,   tp512,  tp1024,  tp1514 [Mbps]
	1, 1266,       2240,       3200,       4166,       8057,      15776,      20008
	4, 1284,       2270,       3238,       4202,       8125,      15985,      20008
	8, 1284,       2262,       3240,       4197,       8142,      15946,      20008
 12, 1280,       2251,       3255,       4229,       8151,      15931,      20008
 24, 1291,       2277,       3265,       4229,       8177,      16053,      20008
 28, 1288,       2279,       3252,       4235,       8166,      15960,      20008
 32, 1289,       2261,       3254,       4241,       8143,      16038,      19968
 36, 1289,       2279,       3263,       4213,       8180,      16003,      20008
 40, 1285,       2273,       3254,       4217,       8037,      16030,      20008
 64, 1289,       2277,       3269,       4255,       8199,      15949,      20008
