#  dly[ns],        clk,    latency,      accur
        10,         22,  12.250939,   1.225094
        20,         33,  18.376409,   0.918820
        30,         66,  36.752818,   1.225094
        40,         98,  54.572366,   1.364309
        50,        124,  69.050749,   1.381015
        60,        152,  84.642853,   1.410714
        70,        185, 103.019262,   1.471704
        80,        198, 110.258453,   1.378231
        90,        276, 153.693602,   1.707707
       100,        246, 136.987775,   1.369878
